City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Guozhen,CN,2021-10-05 19:53:58,34.3659,107.359,53.19,97,100,1.88
150,Qujing,CN,2021-10-05 19:53:58,25.4833,103.7833,56.46,96,8,3.74
151,Coracora,PE,2021-10-05 19:53:58,-15.0333,-73.7833,55.29,61,100,6.98
152,Hasaki,JP,2021-10-05 19:53:59,35.7333,140.8333,66.49,86,6,10.36
153,Okmulgee,US,2021-10-05 19:53:59,35.6234,-95.9605,82.85,32,1,8.05
154,Arandis,NA,2021-10-05 19:53:59,-22.4167,14.9667,49.46,49,1,3.67
155,Itumbiara,BR,2021-10-05 19:53:59,-18.4192,-49.2153,95.38,29,51,3.51
156,Yanam,IN,2021-10-05 19:54:00,16.7333,82.2167,80.33,84,17,4.81
157,Flinders,AU,2021-10-05 19:52:03,-34.5833,150.8552,56.17,63,15,8.99
158,Port Elizabeth,ZA,2021-10-05 19:50:38,-33.918,25.5701,61.11,84,10,11.12
159,Makakilo City,US,2021-10-05 19:54:00,21.3469,-158.0858,82.62,66,90,0.0
160,Lazaro Cardenas,MX,2021-10-05 19:54:01,17.9583,-102.2,86.83,70,97,8.39
161,Gat,IL,2021-10-05 19:52:00,31.61,34.7642,73.81,65,0,4.34
162,Leningradskiy,RU,2021-10-05 19:54:01,69.3833,178.4167,29.97,98,100,8.77
163,Farah,AF,2021-10-05 19:54:02,32.5,62.5,66.31,14,0,2.17
164,Talnakh,RU,2021-10-05 19:52:30,69.4865,88.3972,33.57,100,100,5.26
165,Saint George,US,2021-10-05 19:49:41,37.1041,-113.5841,84.63,33,1,5.99
166,Kulhudhuffushi,MV,2021-10-05 19:54:03,6.6221,73.07,81.73,80,100,18.92
167,Sacramento,US,2021-10-05 19:53:16,38.4666,-121.3177,88.07,33,1,14.97
168,Endicott,US,2021-10-05 19:49:27,42.0984,-76.0494,72.55,84,90,1.01
169,Miranda,CO,2021-10-05 19:54:03,3.2499,-76.2281,80.73,75,64,0.98
170,Colac,AU,2021-10-05 19:54:04,-38.3333,143.5833,45.84,96,18,3.33
171,Komsomolskiy,UZ,2021-10-05 19:54:04,40.4272,71.7189,59.72,36,96,6.91
172,Kaseda,JP,2021-10-05 19:54:04,31.4167,130.3167,70.43,80,0,5.39
173,Ribeira Grande,PT,2021-10-05 19:54:04,38.5167,-28.7,73.8,94,75,10.36
174,Saurimo,AO,2021-10-05 19:54:05,-9.6608,20.3916,65.61,92,13,2.91
175,Jining,CN,2021-10-05 19:54:05,35.405,116.5814,64.0,1,100,8.37
176,Torbat-E Jam,IR,2021-10-05 19:54:06,35.244,60.6225,58.08,24,0,9.24
177,General Pico,AR,2021-10-05 19:54:06,-35.6566,-63.7568,79.03,22,2,7.61
178,Rawson,AR,2021-10-05 19:54:06,-43.3002,-65.1023,47.8,64,89,32.88
179,Inhambane,MZ,2021-10-05 19:54:07,-23.865,35.3833,71.58,94,40,0.0
180,Dryden,CA,2021-10-05 19:54:08,49.7833,-92.7503,73.69,46,1,13.8
181,Mahebourg,MU,2021-10-05 19:54:08,-20.4081,57.7,71.26,88,40,4.61
182,Bambous Virieux,MU,2021-10-05 19:51:26,-20.3428,57.7575,71.22,88,40,4.61
183,Pokosnoye,RU,2021-10-05 19:54:09,55.5258,101.0536,29.41,89,26,4.97
184,Yumen,CN,2021-10-05 19:54:09,40.2833,97.2,47.93,42,0,5.55
185,Podosinovets,RU,2021-10-05 19:54:10,60.2776,47.0659,36.14,89,53,5.14
186,Horsham,GB,2021-10-05 19:54:11,51.064,-0.3272,54.59,68,0,14.97
187,Isetskoye,RU,2021-10-05 19:54:11,56.4858,65.3226,29.77,85,79,3.47
188,Kruisfontein,ZA,2021-10-05 19:54:12,-34.0033,24.7314,58.89,92,0,6.8
189,Yerbogachen,RU,2021-10-05 19:53:45,61.2767,108.0108,26.53,96,87,5.55
190,Bossier City,US,2021-10-05 19:53:58,32.516,-93.7321,85.95,45,20,3.44
191,Saint Marys,US,2021-10-05 19:54:13,30.7305,-81.5465,89.06,70,1,7.0
192,Chapaevsk,RU,2021-10-05 19:54:13,52.9813,49.7112,42.01,50,99,2.64
193,Los Llanos De Aridane,ES,2021-10-05 19:54:14,28.6585,-17.9182,69.55,74,75,14.97
194,Chimbote,PE,2021-10-05 19:52:27,-9.0853,-78.5783,66.9,76,60,12.55
195,Kastamonu,TR,2021-10-05 19:54:15,41.5,33.6667,46.31,85,98,3.13
196,Bayanday,RU,2021-10-05 19:54:15,53.0661,105.5139,31.66,88,90,1.7
197,Morada Nova,BR,2021-10-05 19:51:38,-5.1067,-38.3725,92.98,36,91,9.28
198,Killybegs,IE,2021-10-05 19:54:16,54.6333,-8.45,46.45,78,95,10.56
199,Cap Malheureux,MU,2021-10-05 19:54:16,-19.9842,57.6142,71.47,79,49,1.01
200,Barrow,US,2021-10-05 19:54:16,71.2906,-156.7887,26.62,80,90,13.8
201,Muros,ES,2021-10-05 19:54:18,42.7762,-9.0603,63.23,90,6,5.39
202,Yichun,CN,2021-10-05 19:54:18,47.7,128.9,34.63,92,0,2.59
203,Cherskiy,RU,2021-10-05 19:52:13,68.75,161.3,6.67,98,98,2.93
204,Ahuimanu,US,2021-10-05 19:54:19,21.4447,-157.8378,83.79,63,20,10.36
205,Labuhan,ID,2021-10-05 19:54:19,-6.8844,112.2051,77.74,76,66,15.28
206,Porosozero,RU,2021-10-05 19:54:19,62.7191,32.727,47.57,77,100,12.33
207,Port Hardy,CA,2021-10-05 19:54:20,50.6996,-127.4199,48.38,87,90,5.75
208,Nemuro,JP,2021-10-05 19:54:20,43.3236,145.575,48.97,80,100,4.61
209,Grafton,US,2021-10-05 19:54:20,42.207,-71.6856,59.76,85,100,4.88
210,San Fernando,PH,2021-10-05 19:54:21,15.0286,120.6898,78.82,98,100,4.94
211,Kieta,PG,2021-10-05 19:54:21,-6.2167,155.6333,79.14,83,100,1.79
212,Ushtobe,KZ,2021-10-05 19:54:21,45.2514,77.9838,41.72,36,100,5.41
213,Vao,NC,2021-10-05 19:54:22,-22.6667,167.4833,71.28,90,20,2.82
214,Kavaratti,IN,2021-10-05 19:54:22,10.5669,72.642,81.27,82,98,14.9
215,Gold Coast,AU,2021-10-05 19:54:22,-28.0,153.4333,59.29,79,0,1.01
216,Grand Gaube,MU,2021-10-05 19:54:23,-20.0064,57.6608,71.38,79,35,1.01
217,Cidreira,BR,2021-10-05 19:54:25,-30.1811,-50.2056,61.34,53,0,8.46
218,Plettenberg Bay,ZA,2021-10-05 19:54:25,-34.0527,23.3716,57.31,88,0,4.85
219,Darnah,LY,2021-10-05 19:54:25,32.767,22.6367,71.51,65,0,21.36
220,Lixourion,GR,2021-10-05 19:54:25,38.2019,20.4314,68.47,62,0,4.03
221,Longyearbyen,SJ,2021-10-05 19:52:24,78.2186,15.6401,33.85,89,98,9.73
222,Cape Town,ZA,2021-10-05 19:50:18,-33.9258,18.4232,62.28,66,0,3.0
223,Eatonton,US,2021-10-05 19:54:26,33.3268,-83.3885,73.78,96,100,6.13
224,Abu Samrah,SY,2021-10-05 19:54:26,35.3029,37.1841,65.64,53,0,6.2
225,Lompoc,US,2021-10-05 19:53:31,34.6391,-120.4579,83.21,46,1,5.75
226,Ceres,US,2021-10-05 19:54:27,37.5949,-120.9577,89.51,14,58,5.06
227,Monte Alegre De Sergipe,BR,2021-10-05 19:54:27,-10.0272,-37.5622,84.43,44,56,15.32
228,Egvekinot,RU,2021-10-05 19:52:33,66.3167,-179.1667,28.72,92,100,11.97
229,Kodiak,US,2021-10-05 19:51:51,57.79,-152.4072,44.33,94,100,3.24
230,Jumla,NP,2021-10-05 19:54:18,29.2747,82.1838,57.07,80,58,0.09
231,Isabela,PH,2021-10-05 19:54:28,6.7085,121.9711,78.12,87,100,1.32
232,Half Moon Bay,US,2021-10-05 19:54:28,37.4636,-122.4286,81.59,67,40,1.01
233,Lexington,US,2021-10-05 19:54:28,37.9887,-84.4777,78.42,64,100,1.01
234,Nanortalik,GL,2021-10-05 19:54:30,60.1432,-45.2371,38.17,77,0,8.37
235,Guaimaca,HN,2021-10-05 19:54:30,14.5333,-86.8167,83.8,54,90,2.77
236,Agadez,NE,2021-10-05 19:54:30,19.75,10.25,83.77,15,4,9.15
237,Bethel,US,2021-10-05 19:51:15,41.3712,-73.414,65.01,84,90,5.75
238,Iqaluit,CA,2021-10-05 19:54:31,63.7506,-68.5145,40.73,80,75,17.0
239,Katsuura,JP,2021-10-05 19:54:31,35.1333,140.3,70.2,82,99,13.58
240,Doka,SD,2021-10-05 19:54:32,13.5167,35.7667,76.98,81,93,6.51
241,Merauke,ID,2021-10-05 19:54:32,-8.4667,140.3333,73.44,90,100,9.66
242,Sitka,US,2021-10-05 19:54:32,57.0531,-135.33,47.88,56,0,4.03
243,Ancud,CL,2021-10-05 19:54:32,-41.8697,-73.8203,53.13,48,1,8.25
244,Bentiu,SS,2021-10-05 19:54:33,9.2333,29.8333,77.65,77,100,5.12
245,Nanakuli,US,2021-10-05 19:54:33,21.3906,-158.1547,84.04,69,90,0.0
246,Larsnes,NO,2021-10-05 19:54:33,62.2028,5.5773,54.61,84,100,0.36
247,Neftekumsk,RU,2021-10-05 19:54:34,44.6667,44.9167,50.97,67,100,21.14
248,Genc,TR,2021-10-05 19:54:34,38.7507,40.5603,55.56,37,100,3.42
249,Seoul,KR,2021-10-05 19:53:48,37.5683,126.9778,71.11,91,75,3.44
250,Rambouillet,FR,2021-10-05 19:54:35,48.5833,1.9167,52.86,89,6,13.15
251,Gunjur,GM,2021-10-05 19:54:35,13.2019,-16.7339,80.67,94,75,0.0
252,Yarada,IN,2021-10-05 19:52:54,17.65,83.2667,80.92,94,40,2.3
253,Saskylakh,RU,2021-10-05 19:54:36,71.9167,114.0833,22.75,95,100,7.36
254,Nicolas Bravo,MX,2021-10-05 19:54:36,18.45,-88.9167,90.14,50,54,5.59
255,Port Augusta,AU,2021-10-05 19:54:36,-32.5,137.7667,48.34,25,0,6.46
256,Aswan,EG,2021-10-05 19:54:37,24.0934,32.907,85.3,28,0,9.22
257,Broken Hill,AU,2021-10-05 19:54:37,-31.95,141.4333,46.11,31,0,6.91
258,Lorengau,PG,2021-10-05 19:51:24,-2.0226,147.2712,80.22,80,100,5.68
259,Chara,RU,2021-10-05 19:54:38,56.9064,118.2631,26.19,68,17,1.88
260,Marshfield,US,2021-10-05 19:54:38,44.6689,-90.1718,69.94,58,15,6.55
261,Ngunguru,NZ,2021-10-05 19:54:38,-35.6167,174.5,61.16,85,100,5.48
262,Marzuq,YE,2021-10-05 19:54:38,14.4,46.4667,81.52,47,3,3.18
263,Alzamay,RU,2021-10-05 19:54:39,55.5562,98.6644,31.96,88,68,0.72
264,Aklavik,CA,2021-10-05 19:54:39,68.2191,-135.0107,31.03,77,10,14.65
265,Manyoni,TZ,2021-10-05 19:54:40,-5.7467,34.8382,72.59,40,6,10.76
266,Narrabri,AU,2021-10-05 19:54:40,-30.3167,149.7833,48.29,61,0,8.05
267,Murgab,TM,2021-10-05 19:54:41,37.4966,61.9714,53.47,50,2,6.91
268,Kineta,GR,2021-10-05 19:54:41,37.9709,23.2183,68.61,62,0,4.97
269,Marsa Matruh,EG,2021-10-05 19:54:42,31.3525,27.2453,71.24,65,0,7.99
270,Tura,IN,2021-10-05 19:54:43,25.5198,90.2201,71.82,93,2,2.89
271,Wete,TZ,2021-10-05 19:54:43,-5.0559,39.7294,74.91,80,7,9.8
272,Syasstroy,RU,2021-10-05 19:54:44,60.1367,32.5691,47.26,73,74,15.1
273,Vavoua,CI,2021-10-05 19:54:44,7.3819,-6.4778,74.68,88,82,2.13
274,La Ronge,CA,2021-10-05 19:54:44,55.1001,-105.2842,50.25,37,90,17.27
275,Buckeye,US,2021-10-05 19:54:45,33.3703,-112.5838,87.93,46,62,9.22
276,Ulaanbaatar,MN,2021-10-05 19:50:08,47.9077,106.8832,46.53,29,75,15.66
277,Pierre,US,2021-10-05 19:54:46,44.3683,-100.351,86.27,29,6,3.0
278,Miyako,JP,2021-10-05 19:54:47,39.6367,141.9525,59.63,92,100,11.01
279,Nouadhibou,MR,2021-10-05 19:54:47,20.931,-17.0347,70.43,84,0,24.58
280,George,ZA,2021-10-05 19:54:47,-33.963,22.4617,54.95,94,0,2.3
281,Howick,ZA,2021-10-05 19:54:48,-29.4779,30.2306,53.02,98,100,1.57
282,Badami,IN,2021-10-05 19:54:48,15.915,75.6768,77.61,78,92,5.84
283,Gornyak,RU,2021-10-05 19:54:48,50.9942,81.4661,33.62,76,100,3.33
284,Karwar,IN,2021-10-05 19:54:49,14.8,74.1333,77.81,89,100,3.13
285,Verkhoyansk,RU,2021-10-05 19:54:49,67.5447,133.385,22.98,72,95,8.39
